mention_id,review_id,city,poi_name,poi_category,sentence_text,sentence_index,transport_access,wayfinding_signage,english_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,scenic_value,worthwhile_destination,friendly_service,underpromoted_feature,easy_if_guided,good_for_itinerary_bundle,friction_codes,nudge_codes,all_codes
56e1293cf401_0,56e1293cf401,Fukui,Fukui Dinosaur Museum,museum_cultural,Yet another location on my wishlist for this year and it did blew me away.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
56e1293cf401_1,56e1293cf401,Fukui,Fukui Dinosaur Museum,museum_cultural,I always had a thing for dinosaur fossils and this museum totally did it.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
56e1293cf401_2,56e1293cf401,Fukui,Fukui Dinosaur Museum,museum_cultural,I was in awe by the amount of fossils in display.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
56e1293cf401_3,56e1293cf401,Fukui,Fukui Dinosaur Museum,museum_cultural,They also had minerals and stone samples which are also totally my jam.,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
56e1293cf401_4,56e1293cf401,Fukui,Fukui Dinosaur Museum,museum_cultural,All in all I really enjoyed my time at this museum.,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
2232fbeb1cd7_0,2232fbeb1cd7,Fukui,Fukui Dinosaur Museum,museum_cultural,"Spent a day as a fossil researcher at the Fukui Prefectural Museum of Cultural History - restoring a T.rex skull, cleaning fossils, and exploring CT scans like a real paleontologist.",0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
2232fbeb1cd7_1,2232fbeb1cd7,Fukui,Fukui Dinosaur Museum,museum_cultural,"Fun, hands-on, and full of amazing details from millions of years ago Each training session is different, so check the website before booking!",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_0,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,Absolutely lovely.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_1,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,The tour can only be booked on the Japanese website and you'll have to be there 30 minutes before the given time that you book for.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_2,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,"Next to that, there's a bus going from the train station to the Dino museum and back.",2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_3,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,One of the pictures I posted has the (at that point and time) most recent schedule.,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_4,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,"I recommend the desserts in the cafe, they're very cute and thoughtful.",4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_5,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,The food's pretty standard (but also very cute if you'd want some).,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
79485c50d5a0_6,79485c50d5a0,Fukui,Fukui Dinosaur Museum,museum_cultural,Desserts can possible the found in the other menu accessible via a big red square on the ordering touchpad.,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
1e7587dcd791_0,1e7587dcd791,Fukui,Fukui Dinosaur Museum,museum_cultural,Worth the trip.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,[],['worthwhile_destination'],['worthwhile_destination']
1e7587dcd791_1,1e7587dcd791,Fukui,Fukui Dinosaur Museum,museum_cultural,I recommend.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
182a912325ca_0,182a912325ca,Fukui,Fukui Dinosaur Museum,museum_cultural,The museum is so well curated and informative without feeling overwhelming.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
182a912325ca_1,182a912325ca,Fukui,Fukui Dinosaur Museum,museum_cultural,The layout is made in a way that guides visitors seamlessly through each exhibit while providing ample space so it doesn’t seem crowded.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
182a912325ca_2,182a912325ca,Fukui,Fukui Dinosaur Museum,museum_cultural,The dinosaur replicas and even realistic movements of some make you feel like you’ve stepped out of this era.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
182a912325ca_3,182a912325ca,Fukui,Fukui Dinosaur Museum,museum_cultural,Most of the displays are translated to English and everything has an explanation in braille.,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
182a912325ca_4,182a912325ca,Fukui,Fukui Dinosaur Museum,museum_cultural,"I definitely recommend for families, children and adults- everyone.",4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d9422d6a0f00_0,d9422d6a0f00,Fukui,Fukui Dinosaur Museum,museum_cultural,Love it!!,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d9422d6a0f00_1,d9422d6a0f00,Fukui,Fukui Dinosaur Museum,museum_cultural,"would spend more time here, the system, details, presentation of the fossils and dinosaurs are all amazing.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d9422d6a0f00_2,d9422d6a0f00,Fukui,Fukui Dinosaur Museum,museum_cultural,Love the clean and detailed layout.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d9422d6a0f00_3,d9422d6a0f00,Fukui,Fukui Dinosaur Museum,museum_cultural,"I want to go there again, oh and the food in both restaurants inside and mostly outside facility are so delicious and presented so pretty!!!",3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d9422d6a0f00_4,d9422d6a0f00,Fukui,Fukui Dinosaur Museum,museum_cultural,The staffs also work really well.,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d9422d6a0f00_5,d9422d6a0f00,Fukui,Fukui Dinosaur Museum,museum_cultural,Keep up the good work.,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e7ce62ef4d50_0,e7ce62ef4d50,Fukui,Fukui Dinosaur Museum,museum_cultural,This is a must visit for dinosaur fans!!,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,[],['worthwhile_destination'],['worthwhile_destination']
e7ce62ef4d50_1,e7ce62ef4d50,Fukui,Fukui Dinosaur Museum,museum_cultural,My son loves dinosaurs and this is a perfect place for him to roam around to look at the dinosaur bones & exhibits.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e7ce62ef4d50_2,e7ce62ef4d50,Fukui,Fukui Dinosaur Museum,museum_cultural,There's also a free show every few hours and a baby room for young children to wind down and chill.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e7ce62ef4d50_3,e7ce62ef4d50,Fukui,Fukui Dinosaur Museum,museum_cultural,The gift shop is also well stocked with dinosaur merchandise!,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e7ce62ef4d50_4,e7ce62ef4d50,Fukui,Fukui Dinosaur Museum,museum_cultural,The restaurant also have nice food options!,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e7ce62ef4d50_5,e7ce62ef4d50,Fukui,Fukui Dinosaur Museum,museum_cultural,We love this place so much we already visited 3 times in a year!,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
c19a76904186_0,c19a76904186,Fukui,Fukui Dinosaur Museum,museum_cultural,The museum is very large and impressive!,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
c19a76904186_1,c19a76904186,Fukui,Fukui Dinosaur Museum,museum_cultural,"Not everything has English explanations, but the exhibits themselves were very thorough, we spent over 2hrs here.",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
c19a76904186_2,c19a76904186,Fukui,Fukui Dinosaur Museum,museum_cultural,We drove but it seems the public transportation is also very convenient from the shinkansen station.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
aa9f856429ca_0,aa9f856429ca,Fukui,Fukui Dinosaur Museum,museum_cultural,"A bit off the main tourist areas in Japan, but if you are a dino lover, it is well worth the trip!",0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,[],['worthwhile_destination'],['worthwhile_destination']
aa9f856429ca_1,aa9f856429ca,Fukui,Fukui Dinosaur Museum,museum_cultural,My kids and I loved it.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
aa9f856429ca_2,aa9f856429ca,Fukui,Fukui Dinosaur Museum,museum_cultural,Many one of a kind fossils located here.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
aa9f856429ca_3,aa9f856429ca,Fukui,Fukui Dinosaur Museum,museum_cultural,Book tickets online before you go and plan your entry time accordingly.,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
aa9f856429ca_4,aa9f856429ca,Fukui,Fukui Dinosaur Museum,museum_cultural,Mostly indoor museum and shows but some outside playgrounds and statues to explore too.,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
e5f65fa07913_0,e5f65fa07913,Fukui,Tojinbo Cliffs,nature_scenic,Nice view and vibe but kindly far from town.,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,['transport_access'],[],['transport_access']
33b1ccd20f0a_0,33b1ccd20f0a,Fukui,Tojinbo Cliffs,nature_scenic,This place was on my wishlist for this year.,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
33b1ccd20f0a_1,33b1ccd20f0a,Fukui,Tojinbo Cliffs,nature_scenic,It was totally worth it.,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,[],['worthwhile_destination'],['worthwhile_destination']
33b1ccd20f0a_2,33b1ccd20f0a,Fukui,Tojinbo Cliffs,nature_scenic,I had fun jumping on the rocks and taking in the scaenary.,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
33b1ccd20f0a_3,33b1ccd20f0a,Fukui,Tojinbo Cliffs,nature_scenic,I also enjoyed the boatride to Oshima and back along the cliff edges.,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],[],[]
d0946544c46b_0,d0946544c46b,Fukui,Tojinbo Cliffs,nature_scenic,Very beautiful natural formation!,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,[],['scenic_value'],['scenic_value']
