municipality,friction_code,count,n_respondents,pct_of_respondents
坂井市,cleanliness_comfort,82,8068,1.02
坂井市,opening_hours_availability,107,8068,1.33
坂井市,itinerary_fit_time_cost,31,8068,0.38
坂井市,accessibility_mobility,143,8068,1.77
坂井市,food_amenities_gap,36,8068,0.45
大野市,transport_access,113,6256,1.81
大野市,wayfinding_signage,62,6256,0.99
大野市,english_information_gap,1,6256,0.02
大野市,staff_communication,4,6256,0.06
大野市,booking_ticketing,26,6256,0.42
大野市,waiting_crowding,103,6256,1.65
大野市,price_value,13,6256,0.21
大野市,cleanliness_comfort,74,6256,1.18
